Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sel4_SRR5819794.trim_1P.fastq.gz	sel4_SRR5819794.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5913228.0	0.0	36-101	44.0	60.712004772927145	98.45158042274034	pass	pass	pass	pass	warn	fail	pass	warn	warn	pass	pass
sel4_SRR5819794.trim_1U.fastq.gz	sel4_SRR5819794.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	901720.0	0.0	36-101	46.0	72.2224500012306	90.83233154416006	pass	pass	pass	pass	warn	fail	pass	warn	pass	pass	pass
sel4_SRR5819794.trim_2P.fastq.gz	sel4_SRR5819794.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	5913228.0	0.0	36-101	42.0	70.71018508786365	95.49563453328706	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
sel4_SRR5819794.trim_2U.fastq.gz	sel4_SRR5819794.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29893.0	0.0	36-101	43.0	79.60057538554176	84.59572475161409	pass	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass
sel4_SRR5819795.trim_1P.fastq.gz	sel4_SRR5819795.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3656239.0	0.0	36-101	42.0	52.54581574675517	95.79015868492185	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
sel4_SRR5819795.trim_1U.fastq.gz	sel4_SRR5819795.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26499.0	0.0	36-101	40.0	76.4557153100117	80.61375900977396	pass	pass	pass	pass	pass	fail	pass	warn	pass	pass	pass
sel4_SRR5819795.trim_2P.fastq.gz	sel4_SRR5819795.trim_2P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3656239.0	0.0	36-101	39.0	57.054316190824316	98.27375890908664	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
sel4_SRR5819795.trim_2U.fastq.gz	sel4_SRR5819795.trim_2U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	190961.0	0.0	36-101	40.0	77.12147861820215	88.1846869256026	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
sel4_SRR5819796.trim_1P.fastq.gz	sel4_SRR5819796.trim_1P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	591580.0	0.0	36-101	46.0	37.760521050341346	92.69031407417424	pass	pass	warn	pass	pass	fail	pass	warn	fail	warn	pass
sel4_SRR5819796.trim_1U.fastq.gz	sel4_SRR5819796.trim_1U.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	252542.0	0.0	36-101	45.0	46.87302577887081	96.17266038916298	pass	pass	warn	pass	warn	fail	pass	warn	fail	warn	pass
