Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
sel4_SRR5819794.trim_1P.fastq.gz	39.287995227072855	44.0	98.45158042274034	9.090909090909092	5913228.0
sel4_SRR5819794.trim_1U.fastq.gz	27.777549998769402	46.0	90.83233154416006	9.090909090909092	901720.0
sel4_SRR5819794.trim_2P.fastq.gz	29.28981491213635	42.0	95.49563453328706	0.0	5913228.0
sel4_SRR5819794.trim_2U.fastq.gz	20.39942461445824	43.0	84.59572475161409	0.0	29893.0
sel4_SRR5819795.trim_1P.fastq.gz	47.45418425324483	42.0	95.79015868492185	9.090909090909092	3656239.0
sel4_SRR5819795.trim_1U.fastq.gz	23.544284689988302	40.0	80.61375900977396	9.090909090909092	26499.0
sel4_SRR5819795.trim_2P.fastq.gz	42.945683809175684	39.0	98.27375890908664	0.0	3656239.0
sel4_SRR5819795.trim_2U.fastq.gz	22.878521381797853	40.0	88.1846869256026	0.0	190961.0
sel4_SRR5819796.trim_1P.fastq.gz	62.239478949658654	46.0	92.69031407417424	18.181818181818183	591580.0
sel4_SRR5819796.trim_1U.fastq.gz	53.12697422112919	45.0	96.17266038916298	18.181818181818183	252542.0
sel4_SRR5819796.trim_2P.fastq.gz	60.67639588142929	43.0	84.53577876195949	9.090909090909092	591580.0
sel4_SRR5819796.trim_2U.fastq.gz	43.18914401687294	44.0	92.76450846963004	9.090909090909092	150774.0
sel4_SRR5819797.trim_1P.fastq.gz	35.02515458663295	40.0	94.90508546723028	0.0	1451843.0
sel4_SRR5819797.trim_1U.fastq.gz	24.183999400072125	43.0	90.2183564954383	9.090909090909092	403029.0
sel4_SRR5819797.trim_2P.fastq.gz	36.4971696741608	39.0	95.68432537126948	0.0	1451843.0
sel4_SRR5819797.trim_2U.fastq.gz	26.44397527384706	39.0	93.49446348199673	9.090909090909092	156416.0
sel4_SRR5819798.trim_1P.fastq.gz	45.96949866287119	47.0	93.74529666018947	9.090909090909092	768337.0
sel4_SRR5819798.trim_1U.fastq.gz	32.95755798157094	46.0	95.11522938613929	9.090909090909092	349607.0
sel4_SRR5819798.trim_2P.fastq.gz	42.738501813123506	44.0	83.66318685680892	0.0	768337.0
sel4_SRR5819798.trim_2U.fastq.gz	34.993710387182944	45.0	94.65276881527689	9.090909090909092	167364.0
sel4_SRR5819799.trim_1P.fastq.gz	55.26068738976963	46.0	93.46124849984477	18.181818181818183	863244.0
sel4_SRR5819799.trim_1U.fastq.gz	43.711402355303264	46.0	95.46788186328716	9.090909090909092	310183.0
sel4_SRR5819799.trim_2P.fastq.gz	48.65881175475785	44.0	85.35109424450097	0.0	863244.0
sel4_SRR5819799.trim_2U.fastq.gz	40.58920003170364	44.0	92.54454666837378	9.090909090909092	164019.0
