Module	Section	Sample Name	Source
FastQC	all_sections	sel4_SRR5819794.trim_1P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819794.trim_1P_fastqc.zip
FastQC	all_sections	sel4_SRR5819794.trim_1U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819794.trim_1U_fastqc.zip
FastQC	all_sections	sel4_SRR5819794.trim_2P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819794.trim_2P_fastqc.zip
FastQC	all_sections	sel4_SRR5819794.trim_2U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819794.trim_2U_fastqc.zip
FastQC	all_sections	sel4_SRR5819795.trim_1P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819795.trim_1P_fastqc.zip
FastQC	all_sections	sel4_SRR5819795.trim_1U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819795.trim_1U_fastqc.zip
FastQC	all_sections	sel4_SRR5819795.trim_2P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819795.trim_2P_fastqc.zip
FastQC	all_sections	sel4_SRR5819795.trim_2U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819795.trim_2U_fastqc.zip
FastQC	all_sections	sel4_SRR5819796.trim_1P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819796.trim_1P_fastqc.zip
FastQC	all_sections	sel4_SRR5819796.trim_1U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819796.trim_1U_fastqc.zip
FastQC	all_sections	sel4_SRR5819796.trim_2P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819796.trim_2P_fastqc.zip
FastQC	all_sections	sel4_SRR5819796.trim_2U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819796.trim_2U_fastqc.zip
FastQC	all_sections	sel4_SRR5819797.trim_1P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819797.trim_1P_fastqc.zip
FastQC	all_sections	sel4_SRR5819797.trim_1U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819797.trim_1U_fastqc.zip
FastQC	all_sections	sel4_SRR5819797.trim_2P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819797.trim_2P_fastqc.zip
FastQC	all_sections	sel4_SRR5819797.trim_2U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819797.trim_2U_fastqc.zip
FastQC	all_sections	sel4_SRR5819798.trim_1P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819798.trim_1P_fastqc.zip
FastQC	all_sections	sel4_SRR5819798.trim_1U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819798.trim_1U_fastqc.zip
FastQC	all_sections	sel4_SRR5819798.trim_2P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819798.trim_2P_fastqc.zip
FastQC	all_sections	sel4_SRR5819798.trim_2U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819798.trim_2U_fastqc.zip
FastQC	all_sections	sel4_SRR5819799.trim_1P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819799.trim_1P_fastqc.zip
FastQC	all_sections	sel4_SRR5819799.trim_1U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819799.trim_1U_fastqc.zip
FastQC	all_sections	sel4_SRR5819799.trim_2P.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819799.trim_2P_fastqc.zip
FastQC	all_sections	sel4_SRR5819799.trim_2U.fastq.gz	/domus/h1/viktosd/Genome_Analysis/ViktorSade_GenomeAnalysis/analyses/1_preprocessing/fastqc_wgs/sel4_SRR5819799.trim_2U_fastqc.zip
